City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Puerto Ayora,EC,-0.74,-90.35,66.0,89,80,5.01,broken clouds,2020-08-28 01:30:40
1,Nanortalik,GL,60.14,-45.24,50.27,63,100,15.41,overcast clouds,2020-08-28 01:27:21
2,Busselton,AU,-33.65,115.33,59.0,87,0,1.14,clear sky,2020-08-28 01:27:15
3,Hambantota,LK,6.12,81.12,77.0,100,40,1.12,scattered clouds,2020-08-28 01:30:40
4,Ribeirao Branco,BR,-24.22,-48.77,55.36,88,0,2.33,clear sky,2020-08-28 01:30:40
5,Bissau,GW,11.86,-15.6,78.57,84,100,5.64,light rain,2020-08-28 01:30:40
6,Punta Arenas,CL,-53.15,-70.92,28.4,92,47,33.33,light snow,2020-08-28 01:28:32
7,Lebu,CL,-37.62,-73.65,48.69,86,80,12.48,broken clouds,2020-08-28 01:30:40
8,Cidreira,BR,-30.18,-50.21,62.46,73,46,5.21,scattered clouds,2020-08-28 01:30:40
9,Hobart,AU,-42.88,147.33,59.0,38,40,21.92,scattered clouds,2020-08-28 01:28:38
10,Wroclaw,PL,51.1,17.03,51.8,81,90,1.12,overcast clouds,2020-08-28 01:28:23
11,Ushuaia,AR,-54.8,-68.3,35.6,64,40,8.05,scattered clouds,2020-08-28 01:27:14
12,Atuona,PF,-9.8,-139.03,78.69,74,100,19.04,overcast clouds,2020-08-28 01:30:25
13,Faanui,PF,-16.48,-151.75,77.9,77,0,15.59,clear sky,2020-08-28 01:30:41
14,Upernavik,GL,72.79,-56.15,42.24,72,0,5.57,clear sky,2020-08-28 01:27:16
15,Mazagao,BR,-0.12,-51.29,86.0,84,75,11.41,broken clouds,2020-08-28 01:30:41
16,Port Lincoln,AU,-34.73,135.87,59.65,67,0,6.44,clear sky,2020-08-28 01:30:41
17,Hami,CN,42.8,93.45,73.58,21,100,5.7,overcast clouds,2020-08-28 01:27:34
18,San Cristobal,VE,7.77,-72.22,65.95,89,54,2.1,broken clouds,2020-08-28 01:30:41
19,Teya,RU,60.38,92.63,56.3,81,5,3.33,clear sky,2020-08-28 01:30:41
20,Chokurdakh,RU,70.63,147.92,41.9,69,99,7.74,overcast clouds,2020-08-28 01:30:41
21,Sao Felix Do Xingu,BR,-6.64,-51.99,76.77,60,13,1.41,few clouds,2020-08-28 01:30:41
22,Buala,SB,-8.14,159.59,84.24,74,100,12.37,light rain,2020-08-28 01:30:41
23,Qasigiannguit,GL,68.82,-51.19,35.6,74,92,4.7,overcast clouds,2020-08-28 01:30:41
